Parent Category ID,Parent Category,Parent Alias,Child Category ID,Child Category,Child Alias
147,Гўзаллик ва саломатлик,krasota-i-zdorove,159,Гигиена воситалари,sredstva-i-predmety-gigieny
147,Гўзаллик ва саломатлик,krasota-i-zdorove,161,Гўзаллик учун техника,tekhnika-dlya-krasoty
147,Гўзаллик ва саломатлик,krasota-i-zdorove,222,Пардоз жиҳозлари,make-up
147,Гўзаллик ва саломатлик,krasota-i-zdorove,226,Эркаклар учун,dlya-muzhchin
147,Гўзаллик ва саломатлик,krasota-i-zdorove,248,Оптика,optika
147,Гўзаллик ва саломатлик,krasota-i-zdorove,268,Парфюмерия,parfyumeriya
147,Гўзаллик ва саломатлик,krasota-i-zdorove,306,Массаж ускуналари,massazhery
147,Гўзаллик ва саломатлик,krasota-i-zdorove,780,Соқол ва сочларни олиш,brite-i-udalenie-volos
147,Гўзаллик ва саломатлик,krasota-i-zdorove,784,Сочни парвариш қилиш ва шакллантириш,ukhod-za-volosami-i-ukladki
147,Гўзаллик ва саломатлик,krasota-i-zdorove,787,Яхши соғлик учун,dlya-zdorovya
147,Гўзаллик ва саломатлик,krasota-i-zdorove,801,Оғиз бўшлиғи гигиенаси,gigiena-polosti-rta
147,Гўзаллик ва саломатлик,krasota-i-zdorove,808,Бадан  учун,dlya-telo
147,Гўзаллик ва саломатлик,krasota-i-zdorove,816,Косметика ускуналари,kosmeticheskoe-oborudovanie
147,Гўзаллик ва саломатлик,krasota-i-zdorove,821,Маникюр асбоблари,instrumenty-dlya-manikyura
147,Гўзаллик ва саломатлик,krasota-i-zdorove,827,Қоғоз гигиена воситалари,tualetnaya-bumaga
1026,Чет элдан товарлар,tovary-iz-za-rubeza,1027,Туркиядан товарлар,tovary-iz-turcii
1026,Чет элдан товарлар,tovary-iz-za-rubeza,1028,Хитойдан товарлар,tovary-iz-kitaya
1026,Чет элдан товарлар,tovary-iz-za-rubeza,1029,Дубайдан товарлар,tovary-iz-dubaya
170,Авто жиҳозлар,avtomobilnye-aksessuary,171,Видеорегистраторлар ва Радар-детекторлар,videoregistratory
170,Авто жиҳозлар,avtomobilnye-aksessuary,181,Автоаксессуарлар,aksessuary-2
170,Авто жиҳозлар,avtomobilnye-aksessuary,215,Минимойка ва юқори босимли насослар,minimoyka
170,Авто жиҳозлар,avtomobilnye-aksessuary,240,Авто учун рул,rul
170,Авто жиҳозлар,avtomobilnye-aksessuary,243,Автосигнализация,avtosignalizatsiya
170,Авто жиҳозлар,avtomobilnye-aksessuary,345,Аккумуляторлар,akkumulyatory
170,Авто жиҳозлар,avtomobilnye-aksessuary,346,Шиналар,shiny
170,Авто жиҳозлар,avtomobilnye-aksessuary,456,Фара,fara
170,Авто жиҳозлар,avtomobilnye-aksessuary,458,Автомобил гиламча,avtomobilnye-kovriki
170,Авто жиҳозлар,avtomobilnye-aksessuary,459,Мотор мойлари,motornye-masla
170,Авто жиҳозлар,avtomobilnye-aksessuary,465,Автомобиллар учун дискалар,diski-dlya-avto
170,Авто жиҳозлар,avtomobilnye-aksessuary,468,Автомобиль қопламалари,chekhly-dlya-sidenya
170,Авто жиҳозлар,avtomobilnye-aksessuary,473,Бар,bar
170,Авто жиҳозлар,avtomobilnye-aksessuary,501,Автомобиль суюқликлари ва антифризлар,antifriz
170,Авто жиҳозлар,avtomobilnye-aksessuary,550,Автомобиль шасси қисмлари,khodovaya-chast-avtomobilya
170,Авто жиҳозлар,avtomobilnye-aksessuary,559,Автомобилнинг мотор қисми,motornaya-chast-avtomobilya
170,Авто жиҳозлар,avtomobilnye-aksessuary,628,Автомобилнинг электр қисми,elektricheskaya-chast-avtomobilya
170,Авто жиҳозлар,avtomobilnye-aksessuary,884,Автомобиль ойналари,avtomobilnye-stekla
170,Авто жиҳозлар,avtomobilnye-aksessuary,934,Автомабил танаси қисимлари,detali-dlya-kuzova
170,Авто жиҳозлар,avtomobilnye-aksessuary,951,Бошқа автомобиль эҳтиёт қисмлари,drugie-avtozapchasti
170,Авто жиҳозлар,avtomobilnye-aksessuary,281,Автомобиль учун аудио,audio-1
182,"Барчаси офис, уй ва боғ учун",mebel,184,All Home,matrasy
182,"Барчаси офис, уй ва боғ учун",mebel,214,Барчаси боғ учун,prinadlezhnosti-dlya-sada
182,"Барчаси офис, уй ва боғ учун",mebel,246,Барчаси таъмирлаш ишлари  учун,proektory
182,"Барчаси офис, уй ва боғ учун",mebel,274,Сув учун кулер,kulery-dlya-vody-1
182,"Барчаси офис, уй ва боғ учун",mebel,276,Электр таъминоти элементлари,elementy-elektropitaniya-1
182,"Барчаси офис, уй ва боғ учун",mebel,349,Бассейнлар ва аксессуарлар,basseyny
182,"Барчаси офис, уй ва боғ учун",mebel,354,Рекуператорлар,rekuperatory
182,"Барчаси офис, уй ва боғ учун",mebel,437,Будулник ва соатлар,budilniki
182,"Барчаси офис, уй ва боғ учун",mebel,502,Ёритиш,osveshchenie
182,"Барчаси офис, уй ва боғ учун",mebel,508,"Барчаси завқ, пикник ва севимли машғулотлар учун",vse-dlya-udovolstviya-piknika-i-khobbi
182,"Барчаси офис, уй ва боғ учун",mebel,511,Уй ва офис аксессуарлари,aksessuary-dlya-doma-i-ofisa
182,"Барчаси офис, уй ва боғ учун",mebel,693,Тозалаш воситалари,bytovaya-khimiya
182,"Барчаси офис, уй ва боғ учун",mebel,831,Гиламлар ва гиламчалар,kovry-i-kovrovye-dorozhki
182,"Барчаси офис, уй ва боғ учун",mebel,892,Сақлаш ечимлари,resheniya-dlya-khraneniya
182,"Барчаси офис, уй ва боғ учун",mebel,1051,Декор ва интерер,dekor-i-interer
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,219,Болалар учун стол ўйинлари,nastolnye-igry-1
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,247,Ўйинчоқлар,igrushki
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,383,Скейтлар ва Самокатлар,skeyty-i-samokaty
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,387,Оналар ва гўдаклар учун товарлар,detskie-aksessuary
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,426,Арғимчоқлар,kacheli
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,433,Кичкинтойларнинг хавфсизлиги учун маҳсулотлар,radionyani-i-videonyani
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,438,Болалар аравачалари,detskie-kolyaski-i-avtokresla
185,Болалар учун ўйинчоқ ва маҳсулотлар,tovary-dlya-detey,439,Болалар авто ўриндиқлари,avtokresla
